parliament_house,total_works,normal_count,normal_pct,review_count,review_pct,high_count,high_pct,critical_count,critical_pct
Lok Sabha,49025,34676,70.73,13663,27.87,606,1.24,80,0.16
Rajya Sabha,15168,6056,39.93,8259,54.45,790,5.21,63,0.42
