"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5330","Odisha","Construction of rooms and halls in school and colleges","WS/MP373/2025-2026/203895","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Smt Sangeeta Kumari Singh Deo","BOLANGIR","25-Jun-2026","TULARAM MEHER","Payment Success","322564"
"5331","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157044","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","23-Jun-2026","CHITTA RANJAN PRADHAN","Payment Success","494373"
"5332","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199904","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","49373"
"5333","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199905","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","156307"
"5334","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199906","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","177027"
"5335","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199907","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","107614"
"5336","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199908","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","72085"
"5337","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199909","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","246190"
"5338","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199910","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","148472"
"5339","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199911","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","110199"
"5340","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199912","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","68732"
"5341","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199913","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","47201"
"5342","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199914","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","42728"
"5343","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199915","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","63871"
"5344","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199916","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","131099"
"5345","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/199917","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","21-Jun-2026","SAI KRIPA ENGINEERS ASSOCIATES SATNA","Payment Success","799256"
"5346","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185896","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","02-Jul-2026","Ranjith A V","Payment Success","469854"
"5347","Tamil Nadu","Lighting of public spaces","WS/MP18384/2026-2027/282113","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","22-Jun-2026","S  KARUNANITHI","Payment Success","475405"
"5348","Tamil Nadu","Lighting of public spaces","WS/MP18384/2026-2027/282114","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","22-Jun-2026","S  KARUNANITHI","Payment Success","475405"
"5349","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18018/2025-2026/231456","VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA)","Appalanaidu Kalisetti","VIZIANAGARAM","14-Aug-2026","Dasari Anitha","Payment Success","134861"
"5350","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236392","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","30-Jun-2026","Junishedhavi Gram Panchayat","Payment Success","200000"
"5351","Gujarat","Providing drains and gutters for public drainage","WS/MP18054/2025-2026/255363","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","30-Jun-2026","Laljinagar Gram Panchayat","Payment Success","200000"
"5352","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236394","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","30-Jun-2026","Saldi Gram Panchayat","Payment Success","200000"
"5353","Andhra Pradesh","Setting up of laboratories","WS/MP18006/2025-2026/239474","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","23-Jun-2026","R Rajasekhar","Payment Success","971970"
"5354","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2024-2025/172000","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","17-Aug-2026","MOTIMANEKPUR GRAM PANCHYAT","Payment Success","500000"
"5355","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18058/2025-2026/270873","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","17-Aug-2026","MADHELI GRAM PANCHAYAT","Payment Success","500000"
"5356","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","ajay kumar","Payment Success","439002"
"5357","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","ajay kumar","Payment Success","2000"
"5358","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268581","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","29-Jul-2026","ajay kumar","Payment Success","528695"
"5359","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/268574","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","25-Jul-2026","ajay kumar","Payment Success","440969"
"5360","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","ghansyam","Payment Success","3705"
"5361","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","nemi singh","Payment Success","3705"
"5362","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","panna lal","Payment Success","3705"
"5363","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","ashok kumar","Payment Success","3705"
"5364","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","hema","Payment Success","3705"
"5365","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","maya","Payment Success","3135"
"5366","Uttar Pradesh","Lighting of public spaces","WS/MP18233/2026-2027/274638","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","PRAVEEN PATEL","PHULPUR","01-Jul-2026","Roudrantak Infratech","Payment Success","20786350"
"5367","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","deyaram","Payment Success","3705"
"5368","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","madan mohan","Payment Success","9750"
"5369","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","ratan lal","Payment Success","9750"
"5370","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","chinga","Payment Success","9750"
"5371","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/268580","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","08-Jul-2026","magla","Payment Success","3705"
"5372","Odisha","Construction of community centers and community halls","WS/MP373/2025-2026/249708","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Smt Sangeeta Kumari Singh Deo","BOLANGIR","25-Jun-2026","LAKSHYE MEHER","Payment Success","250000"
"5373","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/231386","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","25-Jun-2026","SHIV SHAKTI CONSTRUCTION","Payment Success","1295592"
"5374","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18170/2025-2026/260632","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","23-Jun-2026","JP Yadav Constructions Company","Payment Success","176395"
"5375","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18170/2025-2026/256515","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","23-Jun-2026","JP Yadav Constructions Company","Payment Success","300799"
"5376","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/196199","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","03-Jul-2026","SARSAV GRAM PANCHAYAT","Payment Success","150000"
"5377","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18161/2025-2026/225241","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","14-Jul-2026","gp sajjanwas","Payment Success","79665"
"5378","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/236436","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","02-Jul-2026","pravendra singh","Payment Success","499882"
"5379","Andhra Pradesh","Construction of culverts and bridges","WS/MP18006/2025-2026/254770","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","24-Jun-2026","SRI SHIVAGURU INFRA","Payment Success","311784"
"5380","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219470","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","25-Jun-2026","Lakhvir Singh","Payment Success","22360"
"5381","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18388/2025-2026/190935","PEDDAPALLI(District Collector Peddapally_IDA)","VAMSI KRISHNA GADDAM","PEDDAPALLE","24-Jun-2026","M Nagender","Payment Success","499887"
"5382","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","RAMDYAL LALU GHASAL","Payment Success","7800"
"5383","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","SUMITRA RAMDAYAL","Payment Success","7800"
"5384","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","RAMESHWARI JATAN","Payment Success","7800"
"5385","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","KAMAL TEJU CHOUDHARY","Payment Success","7800"
"5386","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","RADHAMOHAN NORAT","Payment Success","7800"
"5387","Assam","Construction of community centers and community halls","WS/MP18024/2026-2027/221360","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","16-Jul-2026","BIDYESWAR KAMAN","Payment Success","250000"
"5388","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","AASHISH SADUL","Payment Success","7800"
"5389","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","JATAN SADUL","Payment Success","7800"
"5390","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","MUKESH RAMDHAN","Payment Success","7800"
"5391","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP719/2025-2026/261813","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Jun-2026","KAILASH MANGLA","Payment Success","7800"
"5392","Maharashtra","Construction of community centers and community halls","WS/MP672/2026-2027/291742","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","07-Jul-2026","Dhiraj Baba Virkhare","Payment Success","3201581"
"5393","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/197014","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","23-Jun-2026","SHIVAM Building Material","Payment Success","79996"
"5394","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/197014","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","23-Jun-2026","Maharishi Durwasha Bricks Kiln Co","Payment Success","328928"
"5395","Punjab","Providing drains and gutters for public drainage","WS/MP18152/2025-2026/274125","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","22-Jun-2026","Gill Pipe Industry","Payment Success","395350"
"5396","Punjab","Providing drains and gutters for public drainage","WS/MP18152/2025-2026/241148","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","04-Aug-2026","Gill Pipe Industry","Payment Success","125150"
"5397","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2026-2027/210419","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","22-Jun-2026","RADHA K","Payment Success","599435"
"5398","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18156/2025-2026/211018","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","30-Jun-2026","GOVARDHAN IRON","Payment Success","176919"
"5399","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18257/2025-2026/249226","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","ABHIJIT GANGOPADHYAY","TAMLUK","23-Jun-2026","AFSANA ENTERPRISE prop SK ANUAR","Payment Success","233836"
"5400","Tamil Nadu","Installing tube-wells and borewells","WS/MP18394/2025-2026/212734","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","31-Jul-2026","RAJU N","Payment Success","400000"
"5401","Rajasthan","Installing tube-wells and borewells","WS/MP18170/2025-2026/197319","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","22-Jun-2026","SHREE BALAJI CONSTRUCTION COMPANY","Payment Success","316000"
"5402","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18305/2025-2026/183140","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","24-Jun-2026","MOHAMMED BASHEER MT","Payment Success","274027"
"5403","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18305/2025-2026/183141","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","29-Jun-2026","MOHAMMED BASHEER MT","Payment Success","274027"
"5404","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2026-2027/273604","SINDHUDURG(DISTRICT COLLECTOR SINDHUDURG_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","29-Jul-2026","SWAMI VIVEKANANDMAJUR SAHAKARI SANSTHA MARYA KERVADE TARF MANGAON","Payment Success","799728"
"5405","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/269476","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","23-Jun-2026","SHIVA TRADERS","Payment Success","909356"
"5406","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/269476","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","11-Aug-2026","SHIVA TRADERS","Payment Success","183367"
"5407","Haryana","Setting up processing plants, cold storages,etc for fish and fisheries products for community use","WS/MP18067/2026-2027/265830","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","23-Jun-2026","MAA MANSA ENTERPRISES","Payment Success","787473"
"5408","Odisha","Lighting of public spaces","WS/MP372/2025-2026/237903","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","22-Jun-2026","ARKA ENTERPRISES","Payment Success","150000"
"5409","Haryana","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18066/2026-2027/268806","JIND(DEPUTY COMMISSIONER JIND)","SELJA","SIRSA(SC)","23-Jun-2026","VINOD KUMAR GOVT CONTRACTOR","Payment Success","115444"
"5410","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP017/2026-2027/188575","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","25-Jun-2026","PURUSHOTHAMAN M","Payment Success","1799989"
"5411","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP819/2026-2027/267384","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Smt Hema Malini","MATHURA","23-Jun-2026","ENDOLITE INDIA LTD","Payment Success","165900"
"5412","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/163385","DINDORI(District Collector Dindori_IDA)","Faggan Singh Kulaste","MANDLA(ST)","01-Jul-2026","MS TARENDRA KUMAR","Payment Success","200000"
"5413","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18369/2026-2027/226919","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","22-Jun-2026","GP KARAJGAON PANI PURAVATHA","Payment Success","729332"
"5414","Punjab","Renovation of ponds and lakes","WS/MP18314/2025-2026/219609","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","16-Jul-2026","MOHINDER PAL SUPPLIER","Payment Success","495000"
"5415","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2026-2027/251951","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","22-Jun-2026","MR KAILASH MAJHI","Payment Success","200000"
"5416","Punjab","Construction of buildings for community cultural activities","WS/MP18311/2024-2025/156710","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Jun-2026","Bali Art Studio","Payment Success","2320"
"5417","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/196730","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","01-Jul-2026","Rajat Upadhyay","Payment Success","141546"
"5418","Punjab","Installation of multi-gym equipment","WS/MP18155/2025-2026/247492","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","22-Jun-2026","Thakur Steel Engg Works","Payment Success","15142"
"5419","Punjab","Installation of multi-gym equipment","WS/MP716/2025-2026/210125","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","22-Jun-2026","RB BUILDERS","Payment Success","104195"
"5420","Maharashtra","Construction of community centers and community halls","WS/MP18134/2025-2026/179141","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI(SC)","26-Jun-2026","Ch Sankalp Majur Society Pohegaon","Payment Success","695177"
"5421","Jammu And Kashmir","Improvement of electricity distribution infrastructure","WS/MP18070/2025-2026/256526","ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA)","MIAN ALTAF AHMAD","ANANTNAG","02-Jul-2026","ABDULLAH ELECTRICALS","Payment Success","745480"
"5422","Gujarat","Construction of community centers and community halls","WS/MP588/2025-2026/202427","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","03-Jul-2026","GRAM PANCHAYAT FALLA","Payment Success","398113"
"5423","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/251184","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","03-Jul-2026","NRUSINGHA CHARAN DUTTA","Payment Success","600000"
"5424","Tamil Nadu","Construction of community centers and community halls","WS/MP18173/2026-2027/209142","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","22-Jun-2026","SELVAM","Payment Success","1997509"
"5425","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173937","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","ANANTA NAYAK","KEONJHAR(ST)","30-Jun-2026","UGRESON MOHAPATRA","Payment Success","300000"
"5426","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18054/2025-2026/236393","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","22-Jun-2026","MEGHAALIYASANA GRAM PANCHAYAT","Payment Success","450000"
"5427","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/255317","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","22-Jun-2026","DELOLI GRAM PANCHAYAT","Payment Success","250000"
"5428","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/153634","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","09-Jul-2026","Zimidara Cement Store Mianpur","Payment Success","49386"
"5429","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/153634","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","09-Jul-2026","Zimidara Cement Store Mianpur","Payment Success","48851"
"5430","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/153634","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","09-Jul-2026","Zimidara Cement Store Mianpur","Payment Success","43482"
"5431","Bihar","Construction of additional rooms and halls in the existing public and community building","WS/MP549/2025-2026/191065","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Giridhari Yadav","BANKA","13-Jul-2026","MANIKANT KUMAR","Payment Success","988705"
"5432","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18104/2026-2027/278820","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","15-Jul-2026","sarpanch gram panchayat Damdam","Payment Success","100000"
