"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3987","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Bhairu Lal Jat","Payment Success","3588"
"3988","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Teena Kumari","Payment Success","7452"
"3989","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Sanwar Mal","Payment Success","12114"
"3990","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Gayatri Devi","Payment Success","7452"
"3991","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Sunita Rebari","Payment Success","7452"
"3992","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Prahalad Rebari","Payment Success","20250"
"3993","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Noli devi","Payment Success","7452"
"3994","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Debi Lal Regar","Payment Success","7452"
"3995","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Vimala regar","Payment Success","7452"
"3996","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Rup Lal","Payment Success","20250"
"3997","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/210179","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","28-Jul-2026","Sanjay Rayaka","Payment Success","7452"
"3998","Goa","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP571/2025-2026/156862","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shripad Yesso Naik","NORTH GOA","11-Aug-2026","Laxmi Health Agencies","Payment Success","61425"
"3999","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/219168","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","18-Jul-2026","MOHANAN E G","Payment Success","1156605"
"4000","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/288864","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","30-Jul-2026","GRAM PANCHAYAT GHATAI","Payment Success","250000"
"4001","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/286528","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","30-Jul-2026","GRAM PANCHAYAT KHARAIDAVAR","Payment Success","250000"
"4002","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","VIRMA RAM","Payment Success","6650"
"4003","Madhya Pradesh","Construction of culverts and bridges","WS/MP18103/2026-2027/296135","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","30-Jul-2026","GRAM PANCHAYAT RAIPUR","Payment Success","250000"
"4004","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","ALPU DEVI","Payment Success","3990"
"4005","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/186168","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","21-Jul-2026","DULFIKAR K V","Payment Success","377147"
"4006","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","REKHA DEVI","Payment Success","3990"
"4007","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","MAMATA DEVI","Payment Success","3990"
"4008","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","DOLARAM","Payment Success","13300"
"4009","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18206/2026-2027/254934","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","BANDA","27-Jul-2026","Dwivedi Traders","Payment Success","486230"
"4010","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","GEETA DEVI","Payment Success","3990"
"4011","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","PUKHRAJ","Payment Success","3990"
"4012","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","RENUKA","Payment Success","3990"
"4013","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/195539","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","20-Jul-2026","PUSHPA","Payment Success","3990"
"4014","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP574/2025-2026/183680","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","10-Aug-2026","MOTI CHANDUR GRAM PANCHAYAT","Payment Success","200000"
"4015","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/186167","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","21-Jul-2026","Abdu Sadique I P","Payment Success","471975"
"4016","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP18064/2025-2026/242490","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","21-Jul-2026","THE MEHLA COOP LC SOCIETY","Payment Success","134080"
