"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3425","Normal/Others","WS/MP099/2023-2024/101445-Construction of culverts and bridges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Culvert in Moolankode Bhaskaran Road – Valathode Palam Road and construction of approach Road, Ayyankunnu Grama Panchayat, Kannur District","12-Feb-2024","24-Feb-2024","3448021","Physical Inspection"
"3426","Normal/Others","WS/MP099/2023-2024/101459-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Kolikkadavu-Valluva Colony-Chattikkari Palam approach Road, Payam Grama Panchayat, Kannur District [50% S.C Fund + 50% General Fund from MPLADS Fund]","12-Feb-2024","13-Mar-2024","1488196","Physical Inspection"
"3427","Normal/Others","WS/MP839/2023-2024/101991-Lighting of public spaces","Jammu And Kashmir","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST AT DIFFERENCE PLACE AT DISTT PILIBHIT AS PER LIST ENCLOSED SERIAL  NO FROM 9 TO 20","09-Feb-2024","06-Mar-2024","3395993","Physical Inspection"
"3428","Normal/Others","WS/MP839/2023-2024/102045-Lighting of public spaces","Jammu And Kashmir","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST AT DIFFERENCE PLACE AT DISTT PILIBHIT AS PER LIST ENCLOSED SERIAL  NO FROM 1 TO 8","09-Feb-2024","06-Mar-2024","2263995","Physical Inspection"
"3429","Normal/Others","WS/MP107/2023-2024/102047-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","09-Feb-2024","21-Feb-2024","1300000","Vendor Identification"
"3430","Normal/Others","WS/MP147/2024-2025/102177-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of CC road from Pura towards main road in Gram Panchayat Gorda.","09-Feb-2024","30-Jul-2024","999921","Physical Inspection"
"3431","Normal/Others","WS/MP147/2024-2025/102234-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of security wall along CC road /interlocking from Panchayat building towards school in Gram Panchayat Nangal Rupa.","10-Feb-2024","31-Jul-2024","998357","Physical Inspection"
"3432","Normal/Others","WS/MP183/2024-2025/102787-Street lights","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK MADANPUR-  Installing Solar Lights-  1. RAM NARESH S/O BHIMSEN, VILLAGE GARSHAN. 2. UMESH S/O SUGHAR SINGH, VILLAGE GARSHAN. 3. AZAD S/O CHANDRABHAN, VILLAGE GARSHAN. 4. RAJU S/O MUNNI LAL, VILLAGE GARSHAN. 5. ARVIND S/O SURAJ PRAKASH, VILLAGE GARSHAN. 6. ABHILAKH S/O JASKARAN, VILLAGE GARSHAN. 7. ASHOK S/O JAGDISH, VILLAGE GARSHAN. 8. RAJESH S/O RAMMU SINGH, VILLAGE GARSHAN. Contact No. Vivek Yadav,  7217762153","11-Feb-2024","30-Jan-2025","192000","Work partially Completed"
"3433","Normal/Others","WS/MP183/2024-2025/102788-Street lights","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK MADANPUR-  Installing Solar Lights.  1. SHYAMVIR S/O RAJVIR SINGH, VILLAGE SARUPPUR. Contact No. 9319930588","11-Feb-2024","30-Jan-2025","24000","Sanction"
"3434","Normal/Others","WS/MP183/2024-2025/102789-Street lights","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK MADANPUR-  Installing Solar Lights. SUNIL KUMAR S/O RAMNATH SINGH, VILLAGE NATHU KI THAR. GRAM PANCHAYAT URAWAR HASTARF. Contact No.- 7906505060","11-Feb-2024","30-Jan-2025","24000","Sanction"
"3435","Normal/Others","WS/MP078/2023-2024/102819-Construction of footpaths and pedestrian ways","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Pacca Path with retaining wall/Danga from Naked Khad Bridge to Guga Madi Mandola Via Jaswant Singh House at Vill. Tali, G.P. . Lagru, Tehsil Khundian, Dev. Block Dehra Distt. Kangra (H.P.) (Executing Agency BDO Dehra District Kangra)","11-Feb-2024","15-Feb-2024","500000","Physical Inspection"
"3436","Normal/Others","WS/MP078/2023-2024/102821-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Ambulance Road and retaining wall/Danga from Sariyare Tali Road towards the house of Krishan Chand & Raman Kumar at Vill. Tali-02, G.P. Lagru, Tehsil Khundian, Dev. Block Dehra Distt. Kangra (H.P.)","11-Feb-2024","14-Feb-2024","250000","Vendor Identification"
"3437","Normal/Others","WS/MP850/2024-2025/103004-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI GANGNAHAR WARD 15 MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA ) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work Completed"
"3438","Normal/Others","WS/MP850/2024-2025/103005-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI MANGLAUR MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN.. IA(KARYADAI SANSTATHA )- NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work partially Completed"
"3439","Normal/Others","WS/MP850/2024-2025/103006-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA BAHADRABAD MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA ) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work Completed"
"3440","Normal/Others","WS/MP850/2024-2025/103007-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA PATHRI MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN .. IA(KARYADAI SANSTATHA ) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work partially Completed"
"3441","Normal/Others","WS/MP850/2024-2025/103008-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA PIRAN KALIYAR MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN .. IA(KARYADAI SANSTATHA ) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Sanction"
"3442","Normal/Others","WS/MP850/2024-2025/103009-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA BHAGWANPUR MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN .. IA(KARYADAI SANSTATHA) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work partially Completed"
"3443","Normal/Others","WS/MP850/2024-2025/103010-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","THANA BUGGAWALA MEIN MAHILA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN ..... IA(KARYADAI SANSTATHA ) - NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work Completed"
"3444","Normal/Others","WS/MP850/2024-2025/103011-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","KOTWALI RANIPUR MEIN MAHLIHA HELP DESK HETU EK ROOM EVAM TOILET KA NIRMAN.. IA( KARYADAI SANSTATHA )- NAGAR PANCHAYAT BHAGWANPUR","11-Feb-2024","26-Jul-2024","1000000","Work Completed"
"3445","Normal/Others","WS/MP139/2024-2025/103176-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to A-lane at VVP Nagar, in Thattanchavady Constituency","12-Feb-2024","11-Jun-2024","1540526","Physical Inspection"
"3446","Normal/Others","WS/MP139/2024-2025/103177-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing CC road to Raman street and Sundaravinayagar street at Mahatma nagar in Thattanchavady constituency","12-Feb-2024","29-Jul-2024","904645","Physical Inspection"
"3447","Normal/Others","WS/MP139/2025-2026/103178-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to 3rd and 4th cross streets at Subbiah nagar in Thattanchavady constituency","12-Feb-2024","29-Jul-2025","1500000","Sanction"
"3448","Normal/Others","WS/MP139/2024-2025/103179-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Gangaiamman koil street at Thattanchavady in Thattanchavady constituency","12-Feb-2024","08-Jul-2024","3735665","Physical Inspection"
"3449","Normal/Others","WS/MP139/2025-2026/103180-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to Saravana Iruppu street, Ponbethy village in Nedungadu Commune Panchayat in Karaikal region","12-Feb-2024","05-Dec-2025","2683495","Work Completed"
"3450","Normal/Others","WS/MP139/2026-2027/103181-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Re-metalling and BT road to Kamarajar nagar, Varchikudy in Kottuchery commune Panchayat in Karaikal region","12-Feb-2024","21-Aug-2026","2930185","Physical Inspection"
"3451","Normal/Others","WS/MP078/2023-2024/103364-Purchase of books for public libraries/ digitization of library books","Himachal Pradesh","BILASPUR(DEPUTY COMMISSIONER, BILASPUR)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Purchase of Books of Twenty (20) HSS/High School/GSSS, Schools of District Bilaspur located in Urban and Rural areas","12-Feb-2024","11-Mar-2024","2000000","Physical Inspection"
"3452","Normal/Others","WS/MP078/2023-2024/103368-Purchase of books for public libraries/ digitization of library books","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Purchase of Books of Twenty (20) HSS/High School/GSSS, Schools of District Chamba located in Urban and Rural areas","12-Feb-2024","06-Mar-2024","1999640","Physical Inspection"
"3453","Normal/Others","WS/MP001/2023-2024/103702-Installation of multi-gym equipment","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Installation Work of  Gym Equipment In Government Basic School Dhobgawan of Dhobgawan Panchayat of Pusa Block of Samastipur District.(Estimated  Amount  Rs:-15,00,000/-  Fifteen Lakh Only)","12-Feb-2024","16-Mar-2024","1499281","Physical Inspection"
"3454","Normal/Others","WS/MP196/2023-2024/103876-Providing drains and gutters for public drainage","Uttar Pradesh","Bara Banki(DISTRICT MAGISTRATE BARABANKI_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Providing drains and gutters for public drainage","13-Feb-2024","11-Mar-2024","3444811","Physical Inspection"
"3455","Normal/Others","WS/MP052/2024-2025/104591-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of a platform on public land near Brahma Sthan in Gram Bazar Belwa Ward No. 7 of Gram Panchayat Raj Bhediharwa of Block Narkatiaganj. Estimated Amount Rs. 200000.","13-Feb-2024","16-Oct-2024","194628","Physical Inspection"
"3456","Normal/Others","WS/MP103/2023-2024/104800-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","wharf construction (Ghat Nirman) in Pond of Karodiya  for Public facility  Gram Karondiya Block Berasia District Bhopal","14-Feb-2024","05-Mar-2024","2000000","Vendor Identification"
"3457","Normal/Others","WS/MP887/2023-2024/105224-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","??????? ???????-2 ??????? ???????-2 ???? ???????-2 ???? ???????-2 ???? ???????-2 ???? ???????-3 Chaowk ????? ?????? ?????","14-Feb-2024","14-Mar-2024","6532000","Work partially Completed"
"3458","Normal/Others","WS/MP850/2024-2025/105493-Construction of boundary walls of existing public and community buildings","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SARASWATI SHISHU VIDYA MANDIR MAKHTI (POKHRI ) MEIN GATE EVAM BOUDARY WALL KA NIRMAN ... IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","15-Feb-2024","28-Aug-2024","1000000","Physical Inspection"
"3459","Normal/Others","WS/MP850/2023-2024/105494-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","WARD - 54 MEIN PETROL PUMP SE VISHNU ANAND KE MAKAN TAK CC TILES ROAD NIRMAN ... IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","15-Feb-2024","15-Mar-2024","300000","Physical Inspection"
"3460","Normal/Others","WS/MP840/2024-2025/105499-Construction of public libraries and reading rooms","Andhra Pradesh","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of Reference Section(Or Reading room) at  branch library, Kovvuru.","15-Feb-2024","27-Jul-2024","6500000","Work Completed"
"3461","Normal/Others","WS/MP850/2024-2025/105500-Construction of toilet blocks","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SHREE BHARAT MANDIR INTER COLLEGE RISHIKESH MEIN SHIKSHO KE LIYE TOILET NIRMAN KARYA .. IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","15-Feb-2024","28-Aug-2024","300000","Physical Inspection"
"3462","Normal/Others","WS/MP196/2023-2024/105595-Renovation of ponds and lakes","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Renovation of ponds and lakes.","15-Feb-2024","05-Mar-2024","4093000","Vendor Identification"
"3463","Normal/Others","WS/MP887/2023-2024/106208-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","Rajendra Nagar ward","15-Feb-2024","14-Mar-2024","494000","Vendor Identification"
"3464","Normal/Others","WS/MP078/2023-2024/106264-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o L/R and ambulance road from National Highway 205 upto Sh. Bhimsen house with retaining wall at Village Dhar(Ukhliya), G.P. Sakrah, Dev. Block Totu, District Shimla (H.P.) (Executing Agency BDO, Totu, Shimla (Rural))","15-Feb-2024","01-Mar-2024","1000000","Vendor Identification"
"3465","Normal/Others","WS/MP850/2024-2025/106441-Purchase of furniture and fixtures for educational purposes","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","100 table & chair/bench at SHRI GURU RAM RAI INTER COLLEGE  SAHASPUR.. IA( KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","16-Feb-2024","28-Aug-2024","720000","Physical Inspection"
"3466","Normal/Others","WS/MP850/2024-2025/106442-Purchase of furniture and fixtures for educational purposes","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","100 TABLE & CHAIR/BENCH AT GOVERNMENT INTER COLLEGE ,DHOBALWALA IA(KARYADAI SANSTATHA ) - NAGAR PALIKA PARISHAD HERBURTPUR","16-Feb-2024","28-Aug-2024","720000","Physical Inspection"
"3467","Normal/Others","WS/MP885/2024-2025/106744-Construction of rooms and halls in school and colleges","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Construction of three (3) classrooms.","16-Feb-2024","14-Jan-2025","4008840","Sanction"
"3468","Normal/Others","WS/MP131/2023-2024/107174-Development of playfields and sports grounds","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Provision for Flood Light North West Side at Playground (Khelapadia) - Nayagarh Municipality","16-Feb-2024","19-Feb-2024","500000","Physical Inspection"
"3469","Normal/Others","WS/MP203/2023-2024/107448-Construction of public toilets and bathrooms","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","Please see the attached document.","17-Feb-2024","26-Feb-2024","659309","Physical Inspection"
"3470","Normal/Others","WS/MP203/2023-2024/107449-Construction of rooms and halls in school and colleges","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","See the attached document","17-Feb-2024","26-Feb-2024","941106","Physical Inspection"
"3471","Normal/Others","WS/MP850/2023-2024/107468-Construction of buildings for community cultural activities","Uttarakhand","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF PILLAR ALONG WITH SITE RECLAMATION IN BASUN TOK OF VILLAGE JAWLARI IA(KARYADAI SANSTATHA ) - BLOCK PATI","17-Feb-2024","15-Mar-2024","249931","Physical Inspection"
"3472","Normal/Others","WS/MP850/2023-2024/107469-Construction of buildings for community cultural activities","Uttarakhand","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF STAGE IN BASUN TOK OF VILLAGE JAWLARI IA(KARYADI SANASTATHA )- BLOCK PATI","17-Feb-2024","15-Mar-2024","250000","Physical Inspection"
"3473","Normal/Others","WS/MP078/2023-2024/107492-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Hall/Rooms at village Astandli, G.P. Sari, Dev. Block Jubbal, District Shimla (H.P.) (Executing Agency BDO, Jubbbal)","17-Feb-2024","16-Mar-2024","300000","Physical Inspection"
"3474","Normal/Others","WS/MP195/2023-2024/107513-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Construction of CC Road","17-Feb-2024","07-Mar-2024","1084793.6","Physical Inspection"
"3475","Normal/Others","WS/MP140/2023-2024/107762-Construction of community centers and community halls","Punjab","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","For Shri Guru Ravidass Dharamshala Building Maintenance, repair and renovation. (SC)","17-Feb-2024","09-Mar-2024","300000","Physical Inspection"
"3476","Normal/Others","WS/MP107/2023-2024/107998-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","18-Feb-2024","23-Feb-2024","1000000","Vendor Identification"
"3477","Normal/Others","WS/MP107/2025-2026/108001-Lighting of public spaces","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Provision of lighting in Saket dham  dharmshala bhatoli","18-Feb-2024","02-Feb-2026","100000","Sanction"
"3478","Normal/Others","WS/MP107/2025-2026/108002-Providing drains and gutters for public drainage","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of Drain From the house of Shri Anthoni Pal  to Shri Chouhan Ji","18-Feb-2024","23-Jul-2025","236000","Sanction"
"3479","Normal/Others","WS/MP107/2023-2024/108004-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","18-Feb-2024","23-Feb-2024","1000000","Vendor Identification"
"3480","Normal/Others","WS/MP107/2023-2024/108007-Construction of culverts and bridges","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of culvert","18-Feb-2024","23-Feb-2024","1000000","Vendor Identification"
"3481","Normal/Others","WS/MP107/2024-2025/108009-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of CC Road","18-Feb-2024","10-Jun-2024","1000000","Physical Inspection"
"3482","Normal/Others","WS/MP107/2024-2025/108010-Construction of culverts and bridges","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction of Culvert in village  Badkhera","18-Feb-2024","10-Jun-2024","1000000","Physical Inspection"
"3483","Normal/Others","WS/MP196/2024-2025/108300-Street lights","Uttar Pradesh","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Street lights","18-Feb-2024","28-Nov-2024","124944","Physical Inspection"
"3484","Normal/Others","WS/MP840/2024-2025/109095-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mattaiah Faram Thanda/ Navipet; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3485","Normal/Others","WS/MP840/2024-2025/109124-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Abbapur Thanda/ Navipet; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3486","Normal/Others","WS/MP840/2024-2025/109135-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Maddepally Thanda 1/ Navipet; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3487","Normal/Others","WS/MP840/2024-2025/109138-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Dharyapur Thanda/ Navipet; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3488","Normal/Others","WS/MP840/2024-2025/109140-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Shiva Thanda/ Navipet; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3489","Normal/Others","WS/MP840/2024-2025/109144-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Malkapur Thanda/ Nizamabad Rural; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
