"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"544","Normal/Others","WS/MP106/2023-2024/10167-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Ganeshpur, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.1)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"545","Normal/Others","WS/MP106/2023-2024/10169-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Kolwa, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.2)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"546","Normal/Others","WS/MP106/2023-2024/10170-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Lasu patla, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.3)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"547","Normal/Others","WS/MP106/2023-2024/10179-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Mandela Khedi , Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.4)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"548","Normal/Others","WS/MP106/2023-2024/10180-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Unchod, Janpad Panchayat Shujalpur hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.5)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"549","Normal/Others","WS/MP106/2023-2024/10191-Purchase of mobile water tankers","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Khargonkhurd, Janpad Panchayat Kalapipal hetu 1 water Tanker 5500 Liters watar Capacity with 9.00X16 no. ke new tyre tube sahit, Vidhan sabha 169-Kalapipal, District Shajapur (mention in letter no. 3176 column no.6)","16-Aug-2023","16-Mar-2024","156733","Work Completed"
"550","Normal/Others","WS/MP183/2023-2024/10275-Construction of rooms and halls in school and colleges","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","Construction of Building Shrimati Mahadevi Mahavidlaya, Bharaul, Block Araon.","17-Aug-2023","06-Feb-2024","5000000","Work partially Completed"
"551","Normal/Others","WS/MP106/2023-2024/10666-Purchase of books for public libraries/ digitization of library books","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Jila Adhivakta Sangh Harda ki Library hetu Pustkon ki kharid, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.1)","17-Aug-2023","01-Mar-2024","50000","Physical Inspection"
"552","Normal/Others","WS/MP106/2023-2024/10668-Construction of toilet blocks","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Jila Adhivakta Sangh Harda ke Adhivakta Sangh Prakoshth main Toilet nirman hetu, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.4)","17-Aug-2023","01-Mar-2024","100000","Physical Inspection"
"553","Normal/Others","WS/MP106/2023-2024/10670-Purchase of non-conventional energy system and devices for community use","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Jila Adhivakta Sangh Harda ke Adhivakta Sangh Prakoshthke liye Solar Panel lagane hetu, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.5)","17-Aug-2023","01-Mar-2024","300000","Physical Inspection"
"554","Normal/Others","WS/MP106/2023-2024/10671-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Adhivakta Sangh Prakoshthke main Adhivaktaon ki Baithak Vyavasth hetu new teen Shed ka nirman, Jila Adhivakta Sangh Harda, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.6)","17-Aug-2023","01-Mar-2024","298599","Physical Inspection"
"555","Normal/Others","WS/MP106/2023-2024/10673-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Purush Adhivakta Sangh Prakoshth ke Shed marammat Evam nirman hetu, Jila Adhivakta Sangh Harda, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.2)","17-Aug-2023","02-Feb-2024","100000","Physical Inspection"
"556","Normal/Others","WS/MP106/2023-2024/10674-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","HARDA(District Collector Harda_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Mahila Adhivakta Sangh Prakoshth ke marammat Evam nirman hetu, Jila Adhivakta Sangh Harda, Vidhan Sabha Harda, District Harda (mention in letter no. 3184 at column no.3)","17-Aug-2023","02-Feb-2024","100000","Physical Inspection"
"557","Normal/Others","WS/MP203/2023-2024/10747-Installing community drinking water plants","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","Please see the attached list.","18-Aug-2023","27-Sep-2023","5001682","Physical Inspection"
"558","Normal/Others","WS/MP203/2023-2024/10748-Construction of bus-sheds or bus-stops","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","Please see the attached list.","18-Aug-2023","27-Sep-2023","14529277","Physical Inspection"
"559","Normal/Others","WS/MP146/2023-2024/10965-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Sarvajanik Vachnalaya construction work Harjiram Sevar ki dhani hussain ka tala, Gram Panchayat Sarla, P.S. Sedwa, Dist. Barmer","18-Aug-2023","07-Oct-2023","1000000","Work partially Completed"
"560","Normal/Others","WS/MP146/2023-2024/10966-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of boundary wall at cremation ground, Village Nehrana, Gram Panchayat Bhanguli, P.S. Nohar, Dist. Hanumangarh","18-Aug-2023","19-Dec-2023","499200","Physical Inspection"
"561","Repair and Renovation","WS/MP146/2023-2024/10975-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Iron shade of cemetery/graveyard (Kabristan) at Gram Panchayat Deidas, P.S. Nohar","18-Aug-2023","19-Dec-2023","700000","Physical Inspection"
