"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1866","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Kishan Chand  so Bhagat Ram","Payment Success","47918"
"1867","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Kishan Chand  so Bhagat Ram","Payment Success","43133"
"1868","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Kishan Chand  so Bhagat Ram","Payment Success","38269"
"1869","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/279289","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Kishan Chand  so Bhagat Ram","Payment Success","170680"
"1870","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Hardeep Singh","Payment Success","236050"
"1871","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Jun-2026","Hardeep Singh","Payment Success","83075"
"1872","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Hardeep Singh","Payment Success","60000"
"1873","Punjab","Street lights","WS/MP235/2026-2027/286149","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Babbal Electricals","Payment Success","168420"
"1874","Punjab","Street lights","WS/MP235/2026-2027/286151","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Jul-2026","Babbal Electricals","Payment Success","84210"
"1875","Punjab","Development of public parks","WS/MP235/2026-2027/301956","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","26-Aug-2026","Babbal Electricals","Payment Success","25750"
"1876","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/286148","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","09-Jul-2026","Jai Bharat BKO Udyog Mandal","Payment Success","39200"
"1877","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Jai Bharat BKO Udyog Mandal","Payment Success","117600"
"1878","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/277166","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","13-Jul-2026","Jai Bharat BKO Udyog Mandal","Payment Success","7840"
"1879","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2026-2027/277167","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Ajit Agri Works","Payment Success","190000"
"1880","Himachal Pradesh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP078/2025-2026/260491","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-May-2026","Pragatisheel Prakashan","Payment Success","1494639"
"1881","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","sampat singh","Payment Success","9100"
"1882","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","ramila","Payment Success","3705"
"1883","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","hansraj","Payment Success","9100"
"1884","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","suman kumari","Payment Success","3705"
"1885","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","sonam devi","Payment Success","3705"
"1886","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","ravina","Payment Success","3705"
"1887","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","niraj kumari","Payment Success","3705"
"1888","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","rajkumari","Payment Success","3705"
"1889","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","ramvati","Payment Success","3705"
"1890","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","girver prasad","Payment Success","3705"
"1891","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","samay singh","Payment Success","9100"
"1892","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","laxmi","Payment Success","3705"
"1893","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","ajit kumar","Payment Success","3705"
"1894","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234906","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","santosh","Payment Success","3705"
"1895","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","kedar singh","Payment Success","9100"
"1896","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","meera","Payment Success","3705"
"1897","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","govind singh","Payment Success","9100"
"1898","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","chanda","Payment Success","3705"
"1899","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","visvendra","Payment Success","9100"
"1900","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","rakesh","Payment Success","3705"
"1901","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","kalua ram","Payment Success","3705"
"1902","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","virandra","Payment Success","3705"
"1903","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","mithlash","Payment Success","3705"
"1904","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","machla devi","Payment Success","3705"
"1905","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","ramswaroop","Payment Success","3705"
"1906","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","mukhita","Payment Success","3705"
"1907","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","jagat singh","Payment Success","3705"
"1908","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP148/2025-2026/234907","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","11-May-2026","avdesh kumar","Payment Success","3705"
"1909","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","22-May-2026","PAWAN ENTERPRISES","Payment Success","41795"
"1910","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/268923","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Aug-2026","gram panchayat sikrori","Payment Success","53235"
"1911","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2026-2027/267497","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","03-May-2026","bhedram","Payment Success","749932"
"1912","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2026-2027/267497","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","14-Jun-2026","bhedram","Payment Success","246175"
"1913","Punjab","Lighting of public spaces","WS/MP235/2025-2026/273483","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-May-2026","Shiv Electrical","Payment Success","268450"
"1914","Maharashtra","Construction of community centers and community halls","WS/MP18294/2024-2025/142159","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","02-Jul-2026","GRAM PANCHAYAT MOKHARA","Payment Success","500000"
"1915","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2025-2026/174948","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","17-Jul-2026","Sebastain OJ","Payment Success","484374"
"1916","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/262096","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","05-May-2026","Amit Sharma","Payment Success","200000"
"1917","Uttar Pradesh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP181/2026-2027/260752","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","19-May-2026","TEENA AGARWAL","Payment Success","1397250"
"1918","Uttar Pradesh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP181/2026-2027/260752","MEERUT(DISTRICT MAGISTRATE MEERUT_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","18-Jul-2026","TEENA AGARWAL","Payment Success","311387"
"1919","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","39530"
"1920","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","24479"
"1921","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","35767"
"1922","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","29014"
"1923","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","39530"
"1924","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","16-May-2026","DIAMOND TRADERS","Payment Success","39530"
"1925","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","06-Jul-2026","DIAMOND TRADERS","Payment Success","28542"
"1926","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","06-Jul-2026","DIAMOND TRADERS","Payment Success","33764"
"1927","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","06-Jul-2026","DIAMOND TRADERS","Payment Success","23254"
"1928","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","06-Jul-2026","DIAMOND TRADERS","Payment Success","41507"
"1929","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18333/2025-2026/254873","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","06-Jul-2026","DIAMOND TRADERS","Payment Success","2728"
"1930","Maharashtra","Construction of public toilets and bathrooms","WS/MP108/2026-2027/177383","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","27-May-2026","SMARTERA SOLUTIONS PVT LTD","Payment Success","3000000"
"1931","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268751","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-May-2026","GPS Khilchi Jadid","Payment Success","100000"
"1932","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268752","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-May-2026","GPS Tara Singh","Payment Success","100000"
"1933","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Mastram Dhenwal","Payment Success","22750"
"1934","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Mahendra Kumar Verma","Payment Success","22750"
"1935","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Shriram Narnolia","Payment Success","22750"
"1936","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Sohan Lal","Payment Success","22750"
"1937","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Santosh Devi","Payment Success","17500"
"1938","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Manju Devi","Payment Success","7410"
"1939","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Surajmal Bhuria","Payment Success","7410"
"1940","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Satyaprakash Dhenwal","Payment Success","22750"
"1941","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Omprakash Narnolia","Payment Success","17500"
"1942","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Santosh Kumar Sharma","Payment Success","7410"
"1943","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Vikas Kumar Sharma","Payment Success","7410"
"1944","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Chhoti Devi","Payment Success","7410"
"1945","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Karan Singh","Payment Success","7410"
"1946","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Murlidhar Mund","Payment Success","22750"
"1947","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Sangeeta Devi","Payment Success","7410"
"1948","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Devraj Kataria","Payment Success","7410"
"1949","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Anita Verma","Payment Success","7410"
"1950","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-May-2026","Babita Verma","Payment Success","7410"
"1951","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18329/2025-2026/205464","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","05-May-2026","CHANDRABOSE N","Payment Success","439812"
"1952","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268753","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","06-May-2026","GPS Mahi Begu","Payment Success","100000"
"1953","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268754","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","19-Jun-2026","GPS Bhawra Azam Sha","Payment Success","100000"
"1954","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268755","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","14-Jul-2026","Gps Bhurre Khurad","Payment Success","100000"
"1955","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268829","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS Mattar Hithar","Payment Success","100000"
"1956","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP181/2026-2027/200050","HARDOI(DISTRICT MAGISTRATE HARDOI_IDA)","Dr. Laxmikant Bajpayee (2022-28) (2022-2028)","Elected MP","14-May-2026","SARSWATI SHISHU MANDIR","Payment Success","435000"
"1957","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18284/2025-2026/220133","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","11-May-2026","AJAY SHARMA CONTRACTOR","Payment Success","475315"
"1958","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18284/2025-2026/198733","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","22-May-2026","AJAY SHARMA CONTRACTOR","Payment Success","690478"
"1959","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18284/2026-2027/272137","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","31-Jul-2026","AJAY SHARMA CONTRACTOR","Payment Success","640898"
"1960","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18285/2024-2025/146110","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","12-May-2026","Sanwaria Constuction","Payment Success","640000"
"1961","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18285/2024-2025/146115","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","22-May-2026","Sanwaria Constuction","Payment Success","600000"
