mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_370,Lok Sabha,Rajnath Singh,Uttar Pradesh,LUCKNOW,,154808797.11
MP_LS_371,Lok Sabha,Rajpalsinh Mahendrasinh Jadav,Gujarat,PANCHMAHAL,,147000000.0
MP_LS_372,Lok Sabha,Raju Bista,West Bengal,DARJEELING,,147000000.0
MP_LS_373,Lok Sabha,Rakesh Rathor,Uttar Pradesh,SITAPUR,,147000000.0
MP_LS_374,Lok Sabha,Rakibul Hussain,Assam,DHUBRI,,147000000.0
MP_LS_375,Lok Sabha,Ram Prasad Chaudhary,Uttar Pradesh,BASTI,,204176957.11
MP_LS_376,Lok Sabha,Ram Shiromani,Uttar Pradesh,SHRAWASTI,,151746878.11
MP_LS_377,Lok Sabha,Ramasahayam Raghuram Reddy,Telangana,KHAMMAM,,147000000.0
MP_LS_378,Lok Sabha,Ramashankar Rajbhar,Uttar Pradesh,SALEMPUR,,160056927.07
MP_LS_379,Lok Sabha,Rambhual Nishad,Uttar Pradesh,SULTANPUR,,151231957.11
MP_LS_380,Lok Sabha,Ramesh Awasthi,Uttar Pradesh,KANPUR,,147000000.0
MP_LS_381,Lok Sabha,Ramesh Chandappa Jigajinagi,Karnataka,BIJAPUR(SC),,269500000.0
MP_LS_382,Lok Sabha,Ramprit Mandal,Bihar,JHANJHARPUR,,147000000.0
MP_LS_383,Lok Sabha,Ramvir Singh Bidhuri,Delhi,SOUTH DELHI,,147559100.0
MP_LS_384,Lok Sabha,Ranjit Dutta,Assam,Sonitpur,,147000000.0
MP_LS_385,Lok Sabha,Rao Inderjit Singh,Haryana,GURGAON,,147000000.0
MP_LS_386,Lok Sabha,Rao Rajendra Singh,Rajasthan,JAIPUR RURAL,,147000000.0
MP_LS_387,Lok Sabha,Ravi Shankar Prasad,Bihar,PATNA SAHIB,,147000000.0
MP_LS_388,Lok Sabha,Ravindra Dattaram Waikar,Maharashtra,MUMBAI NORTH WEST,,147000000.0
MP_LS_389,Lok Sabha,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,Uttar Pradesh,GORAKHPUR,,147000000.0
MP_LS_390,Lok Sabha,Ravindra Vasantrao Chavan,Maharashtra,NANDED,,147000000.0
MP_LS_391,Lok Sabha,Richard Vanlalhmangaiha,Mizoram,MIZORAM (ST),,147000000.0
MP_LS_392,Lok Sabha,Robert Bruce C,Tamil Nadu,TIRUNELVELI,,147475440.11
MP_LS_393,Lok Sabha,Rodmal Nagar,Madhya Pradesh,RAJGARH,,147000000.0
MP_LS_394,Lok Sabha,Roop Kumari Choudhary,Chhattisgarh,MAHASAMUND,,153035414.0
MP_LS_395,Lok Sabha,Ruchi Vira,Uttar Pradesh,MORADABAD,,147000000.0
MP_LS_396,Lok Sabha,Rudra Narayan Pany,Odisha,DHENKANAL,,155013957.11
